1001,,308,"Autauga, AL "
1003,,1507,"Baldwin, AL "
1005,,464,"Barbour, AL "
1007,,143,"Bibb, AL "
1009,,360,"Blount, AL "
1011,,82,"Bullock, AL "
1013,,165,"Butler, AL "
1015,,1309,"Calhoun, AL "
1017,,526,"Chambers, AL "
1019,,498,"Cherokee, AL "
1021,,298,"Chilton, AL "
1023,,57,"Choctaw, AL "
1025,,151,"Clarke, AL "
1027,,150,"Clay, AL "
1029,,199,"Cleburne, AL "
1031,,526,"Coffee, AL "
1033,,447,"Colbert, AL "
1035,,130,"Conecuh, AL "
1037,,107,"Coosa, AL "
1039,,548,"Covington, AL "
1041,,169,"Crenshaw, AL "
1043,,509,"Cullman, AL "
1045,,645,"Dale, AL "
1047,,490,"Dallas, AL "
1049,,457,"DeKalb, AL "
1051,,355,"Elmore, AL "
1053,,321,"Escambia, AL "
1055,,1098,"Etowah, AL "
1057,,342,"Fayette, AL "
1059,,304,"Franklin, AL "
1061,,360,"Geneva, AL "
1063,,88,"Greene, AL "
1065,,122,"Hale, AL "
1067,,387,"Henry, AL "
1069,,1719,"Houston, AL "
1071,,521,"Jackson, AL "
1073,,4627,"Jefferson, AL "
1075,,386,"Lamar, AL "
1077,,700,"Lauderdale, AL "
1079,,393,"Lawrence, AL "
1081,,691,"Lee, AL "
1083,,744,"Limestone, AL "
1085,,101,"Lowndes, AL "
1087,,184,"Macon, AL "
1089,,2224,"Madison, AL "
1091,,135,"Marengo, AL "
1093,,559,"Marion, AL "
1095,,716,"Marshall, AL "
1097,,2760,"Mobile, AL "
1099,,222,"Monroe, AL "
1101,,1733,"Montgomery, AL "
1103,,1052,"Morgan, AL "
1105,,108,"Perry, AL "
1107,,510,"Pickens, AL "
1109,,416,"Pike, AL "
1111,,435,"Randolph, AL "
1113,,942,"Russell, AL "
1115,,509,"St. Clair, AL "
1117,,797,"Shelby, AL "
1119,,41,"Sumter, AL "
1121,,592,"Talladega, AL "
1123,,478,"Tallapoosa, AL "
1125,,1596,"Tuscaloosa, AL "
1127,,522,"Walker, AL "
1129,,198,"Washington, AL "
1131,,126,"Wilcox, AL "
1133,,209,"Winston, AL "
2020,,477,"Anchorage, AK "
2090,,63,"Fairbanks North Star, AK "
2122,,239,"Kenai Peninsula, AK "
2170,,241,"Matanuska-Susitna, AK "
4001,,21,"Apache, AZ "
4003,,1864,"Cochise, AZ "
4005,,868,"Coconino, AZ "
4007,,1589,"Gila, AZ "
4009,,255,"Graham, AZ "
4012,,50,"La Paz, AZ "
4013,,27548,"Maricopa, AZ "
4015,,7168,"Mohave, AZ "
4017,,115,"Navajo, AZ "
4019,,8339,"Pima, AZ "
4021,,3556,"Pinal, AZ "
4023,,281,"Santa Cruz, AZ "
4025,,5880,"Yavapai, AZ "
4027,,773,"Yuma, AZ "
5005,,173,"Baxter, AR "
5007,,417,"Benton, AR "
5009,,46,"Boone, AR "
5015,,41,"Carroll, AR "
5023,,38,"Cleburne, AR "
5027,,16,"Columbia, AR "
5029,,17,"Conway, AR "
5031,,50,"Craighead, AR "
5033,,35,"Crawford, AR "
5035,,23,"Crittenden, AR "
5045,,61,"Faulkner, AR "
5047,,27,"Franklin, AR "
5049,,26,"Fulton, AR "
5051,,231,"Garland, AR "
5053,,17,"Grant, AR "
5055,,22,"Greene, AR "
5057,,22,"Hempstead, AR "
5059,,14,"Hot Spring, AR "
5063,,19,"Independence, AR "
5065,,102,"Izard, AR "
5069,,22,"Jefferson, AR "
5071,,22,"Johnson, AR "
5075,,16,"Lawrence, AR "
5081,,22,"Little River, AR "
5083,,33,"Logan, AR "
5085,,54,"Lonoke, AR "
5089,,36,"Marion, AR "
5091,,88,"Miller, AR "
5093,,19,"Mississippi, AR "
5101,,11,"Newton, AR "
5109,,12,"Pike, AR "
5113,,38,"Polk, AR "
5115,,172,"Pope, AR "
5119,,206,"Pulaski, AR "
5121,,31,"Randolph, AR "
5125,,191,"Saline, AR "
5127,,12,"Scott, AR "
5129,,13,"Searcy, AR "
5131,,73,"Sebastian, AR "
5133,,16,"Sevier, AR "
5135,,41,"Sharp, AR "
5137,,34,"Stone, AR "
5139,,26,"Union, AR "
5141,,33,"Van Buren, AR "
5143,,239,"Washington, AR "
5145,,49,"White, AR "
5149,,67,"Yell, AR "
6001,,8344,"Alameda, CA "
6005,,228,"Amador, CA "
6007,,180,"Butte, CA "
6009,,161,"Calaveras, CA "
6011,,69,"Colusa, CA "
6013,,1010,"Contra Costa, CA "
6015,,34,"Del Norte, CA "
6017,,1072,"El Dorado, CA "
6019,,8384,"Fresno, CA "
6021,,97,"Glenn, CA "
6023,,1164,"Humboldt, CA "
6025,,30,"Imperial, CA "
6027,,93,"Inyo, CA "
6029,,5818,"Kern, CA "
6031,,48,"Kings, CA "
6033,,184,"Lake, CA "
6037,,18558,"Los Angeles, CA "
6039,,551,"Madera, CA "
6041,,996,"Marin, CA "
6043,,87,"Mariposa, CA "
6045,,68,"Mendocino, CA "
6047,,53,"Merced, CA "
6051,,16,"Mono, CA "
6053,,372,"Monterey, CA "
6055,,671,"Napa, CA "
6057,,210,"Nevada, CA "
6059,,14488,"Orange, CA "
6061,,1577,"Placer, CA "
6063,,53,"Plumas, CA "
6065,,8514,"Riverside, CA "
6067,,4483,"Sacramento, CA "
6069,,32,"San Benito, CA "
6071,,5155,"San Bernardino, CA "
6073,,12178,"San Diego, CA "
6075,,3883,"San Francisco, CA "
6077,,1160,"San Joaquin, CA "
6079,,1552,"San Luis Obispo, CA "
6081,,1529,"San Mateo, CA "
6083,,822,"Santa Barbara, CA "
6085,,4961,"Santa Clara, CA "
6087,,873,"Santa Cruz, CA "
6089,,134,"Shasta, CA "
6093,,533,"Siskiyou, CA "
6095,,1081,"Solano, CA "
6097,,2433,"Sonoma, CA "
6099,,584,"Stanislaus, CA "
6101,,31,"Sutter, CA "
6103,,55,"Tehama, CA "
6105,,79,"Trinity, CA "
6107,,377,"Tulare, CA "
6109,,195,"Tuolumne, CA "
6111,,3176,"Ventura, CA "
6113,,1055,"Yolo, CA "
6115,,25,"Yuba, CA "
8001,,1324,"Adams, CO "
8005,,2407,"Arapahoe, CO "
8007,,120,"Archuleta, CO "
8013,,1228,"Boulder, CO "
8014,,333,"Broomfield, CO "
8015,,56,"Chaffee, CO "
8019,,43,"Clear Creek, CO "
8021,,48,"Conejos, CO "
8025,,14,"Crowley, CO "
8027,,14,"Custer, CO "
8029,,321,"Delta, CO "
8031,,2129,"Denver, CO "
8033,,16,"Dolores, CO "
8035,,1764,"Douglas, CO "
8037,,59,"Eagle, CO "
8039,,210,"Elbert, CO "
8041,,2782,"El Paso, CO "
8043,,244,"Fremont, CO "
8045,,53,"Garfield, CO "
8047,,12,"Gilpin, CO "
8049,,101,"Grand, CO "
8051,,18,"Gunnison, CO "
8055,,41,"Huerfano, CO "
8059,,2235,"Jefferson, CO "
8067,,538,"La Plata, CO "
8069,,1550,"Larimer, CO "
8071,,18,"Las Animas, CO "
8073,,16,"Lincoln, CO "
8077,,3148,"Mesa, CO "
8083,,68,"Montezuma, CO "
8085,,120,"Montrose, CO "
8087,,204,"Morgan, CO "
